TXCompute Bill Of Materials,,,,,
,,,,,
Product Name,Product Link,Quantity,Product Prize (RMB/CNY),Shipping Prize,Total Cost
,,,,,
ESP32-S3-DevKitC-1,https://item.taobao.com/item.htm?from=cart&id=774251724643&mi_id=0000TkvdcnsKewPUX0GwhERCn7B9hXTyM9VbkeQ945A6GOw&skuId=5685631342615&spm=a1z0d.6639537%2F202410.item.d774251724643.6d847484NqIYq0&upStreamPrice=3050,1,￥30.50 ,￥0.00 ,￥30.50 
LCD Screen,https://item.taobao.com/item.htm?from=cart&id=555903053194&mi_id=0000IiXAd_Usf5WsBr2R4V8vUcqpmDYi9ESLU-KSX3M4S_o&skuId=5437201467914&spm=a1z0d.6639537%2F202410.item.d555903053194.350b7484deQVKX&upStreamPrice=4750,1,￥47.50 ,￥8.00 ,￥55.50 
USB-C Receptacle,https://item.taobao.com/item.htm?from=cart&id=687114378126&mi_id=0000KQfjiK5-IRfR4ulVaFW7lOqUmq3H35bfZKQ30ZqCKK4&skuId=4902023665363&spm=a1z0d.6639537%2F202410.item.d687114378126.6d847484wfdB2D&upStreamPrice=38,1,￥0.38 ,￥3.00 ,￥3.38 
USB-A Receptacle,https://item.taobao.com/item.htm?abbucket=14&id=970713632952&mi_id=0000pKG6uBXXrXAacIEQeQPh3SDrKZLHRLAVcHlgrAuWsO0&ns=1&priceTId=2100c90f17816447073973615e0718&skuId=4768952036049&spm=a21n57.1.hoverItem.3&utparam=%7B%22aplus_abtest%22%3A%22860096942a84dbf05239a5b175828cdb%22%7D&xxc=taobaoSearch,1,￥0.35 ,￥3.00 ,￥3.35 
MOSFET Transistor,https://item.taobao.com/item.htm?from=cart&id=569774014683&mi_id=0000V2Uq4Ruj69ruttJaTJ8uP0PNKTSGXMS5qgKfk0WdPrs&skuId=5194551275046&spm=a1z0d.6639537%2F202410.item.d569774014683.172d7484Fa1rYH&upStreamPrice=77,1,￥0.77 ,￥0.50 ,￥1.27 
NPN Transistor,https://item.taobao.com/item.htm?from=cart&id=554519609256&mi_id=0000cqgC1zvNGU75RWj273TFZ4rp_9pZrwdf5Q7OuSfT_Go&skuId=5251944534105&spm=a1z0d.6639537%2F202410.item.d554519609256.6d847484fcS1sK&upStreamPrice=180,1,￥1.80 ,￥0.00 ,￥1.80 
Power Button,https://item.taobao.com/item.htm?from=cart&id=787575307428&mi_id=00002OvEcavU_dvtVtSc9zjGIEoH9Y5bKezid86mbp9YXoY&skuId=5547515219652&spm=a1z0d.6639537%2F202410.item.d787575307428.6d847484TsK8CP&upStreamPrice=330,1,￥3.30 ,￥0.00 ,￥3.30 
,,,,,
Conversion Rate (RMB/CNY -> USD),0.15,,,,
,,,,,
Total Cost (RMB/CNY),￥99.10 ,,,,
Total Cost (USD),$14.87 ,,,,
